Study name,Outcome,Manipulation,Data format,n1exp,n1ctrl,Std diff in means,Std Err,Year,Pub Type,Topic,Topic -specific,Population,Region,Percent Female,Control,Referent Category,Frame: do/don't,method,delivery,timing,duration,content
Lindsey2004,behavior,mixed,"Cohen's d, Variance",92,92,-0.0280,0.1483,2004,conferenc,health,Blank,college,US,,no/unrelated message,distal,do,online exp,written,single exposure and follow up,20,multiple messages
Lindsey2004,intention,mixed,"Cohen's d, Variance",92,92,0.2330,0.1483,2004,conferenc,health,Blank,college,US,,no/unrelated message,distal,do,online exp,written,single exposure and follow up,20,multiple messages
Lindsey2004,perc subj norm,mixed,"Cohen's d, Variance",92,92,0.1980,0.1483,2002,conferenc,health,Blank,college,US,,no/unrelated message,distal,do,intervention,written,single exposure and follow up,90,personalized norm
Lojewski2010,perc desc norm,descriptive,"Cohen's d, Variance",133,73,0.1450,0.1483,2010,jounal,health,drinking,college,US,65,no/unrelated message,distal,don't,intervention,written,single exposure and follow up,90,personalized norm
Lojewski2010,perc desc norm,descriptive,"Cohen's d, Variance",164,82,0.4730,0.1140,2010,jounal,health,drinking,college,US,65,no/unrelated message,distal,don't,field experiment,written,single exposure,1,statistics
MIller2007,attitude,descriptive,"Independent groups (means, SD's)",24,25,0.1284,0.2861,2007,Blank,health,Blank,college,US,63,no/unrelated message,distal,don't,lab experiment,written,single exposure,14,implied majority
Miller2007,intention,descriptive,"Independent groups (means, SD's)",24,25,0.2743,0.2871,2007,dissertation,health,drinking,college,US,63,no/unrelated message,distal,don't,online exp,written,single exposure and follow up,30,multiple messages
Mollen2013,behavior,descriptive,"Cohen's d, Variance",50,56,0.2050,0.2000,2013,Blank,health,Blank,college,Europe,80,weaker/opposed norm,distal,do,online exp,written,single exposure and follow up,30,multiple messages
Mollen2013,perc desc norm,descriptive,"Cohen's d, Variance",50,56,0.6200,0.1997,2013,jounal,health,drinking,college,Europe,80,weaker/opposed norm,distal,do,online exp,written,single exposure and follow up,30,multiple messages
Mollen2013,behavior,injunctive,"Cohen's d, Variance",38,38,0.4600,0.2236,2013,Blank,health,Blank,college,Europe,80,weaker/opposed norm,distal,do,online exp,written,single exposure and follow up,30,multiple messages
Mollen2013,perc inj norm,injunctive,"Cohen's d, Variance",38,38,0.0662,0.2236,2013,Blank,health,Blank,college,Europe,80,weaker/opposed norm,distal,do,field experiment,written,campaign,180,multiple messages
Moore2013,perc desc norm,descriptive,Cohort 2x2 (Events),393,155,0.5486,0.1743,2013,jounal,health,drinking,college,Europe,61,no/unrelated message,distal,don't,intervention,written,multiple eposure,70,implied approval/disapproval
Morgan2010,behavior,mixed,Cohort 2x2 (Events),3169,1430,0.1533,0.0354,2010,Blank,health,Blank,adults,US,63,no/unrelated message,distal,do,intervention,written,multiple eposure,70,implied approval/disapproval
Morgan2010,attitude,mixed,"Independent groups (means, SD's)",3160,1430,0.1261,0.0319,2010,Blank,health,Blank,adults,US,63,no/unrelated message,distal,do,intervention,written,multiple eposure,70,implied approval/disapproval
Morgan2010,perc subj norm,mixed,"Independent groups (means, SD's)",3664,1746,0.1226,0.0291,2010,Blank,health,Blank,adults,US,63,no/unrelated message,distal,do,field experiment,written,single exposure,2.5,multiple messages
Morgan2015,behavior,descriptive,Cohort 2x2 (Events),54,18,0.7977,0.3350,2015,journal,environment,keeping towels,adults,Asia,,no/unrelated message,distal,do,field experiment,written,single exposure,2.5,multiple messages
Morgan2015,behavior,injunctive,Cohort 2x2 (Events),58,18,1.4611,0.3524,2015,journal,environment,keeping towels,adults,Asia,,no/unrelated message,distal,do,field experiment,written,single exposure,2.5,multiple messages
Morgan2015,behavior,mixed,Cohort 2x2 (Events),58,19,0.9215,0.3251,2015,journal,environment,keeping towels,adults,Asia,,no/unrelated message,distal,do,lab experiment,video,single exposure,1,implied approval/disapproval
Morrongiello2013,behavior,injunctive,"Independent groups (means, SD's)",78,79,2.8423,0.2263,2013,jounal,health,risky behaviors,children,North/Central America,46,no/unrelated message,distal,do,field experiment,video,single exposure,1,implied approval/disapproval
Murphy-Hoefer2008,intention,injunctive,Cohort 2x2 (Events),43,107,-0.5103,0.3181,2008,journal,health,smoking,college,US,59,no/unrelated message,mixed,don't,field experiment,ftf ind,single exposure,1,model of behavior
Nalbone2005,behavior,descriptive,Cohort 2x2 (Events),52,41,1.3705,0.3120,2005,jounal,health,handwashing,college,US,0,no/unrelated message,proximal,do,intervention,written,single exposure and follow up,14,model of behavior
Neighbors2009,behavior,PNF,"Cohen's d, Variance",144,139,0.2920,0.1183,2009,Blank,health,Blank,college,US,0,no/unrelated message,distal,don't,intervention,written,single exposure and follow up,14,personalized norm
Neighbors2009,perc desc norm,PNF,"Independent groups (means, SD's)",144,138,0.5823,0.1216,2009,jounal,health,drinking,college,US,58,no/unrelated message,distal,don't,online int,written,single exposure and follow up,180,personalized norm
Neighbors2010,behavior,PNF,"Cohen's d, Variance",654,164,0.2110,0.1761,2010,jounal,health,diniking,college,US,58,no/unrelated message,mixed,don't,online int,written,single exposure and follow up,180,personalized norm
Neighbors2010,perc desc norm,PNF,"Cohen's d, Variance",654,164,0.2220,0.1761,2010,journal,health,drinking,college,US,58,no/unrelated message,distal,don't,online int,multiple delivery methods,single exposure and follow up,180,multiple messages
Neighbors2011,behavior,PNF,"Cohen's d, Variance",141,70,0.2050,0.1183,2011,Blank,health,drinking,college,US,61,no/unrelated message,distal,don't,online int,multiple delivery methods,single exposure and follow up,180,multiple messages
Neighbors2011.s2,behavior,descriptive,"Cohen's d, Variance",142,70,0.1290,0.1183,2011,journal,health,drinking,college,US,61,no/unrelated message,distal,don't,online int,multiple delivery methods,single exposure and follow up,180,multiple messages
Neighbors2011.s2,perc desc norm,PNF,"Cohen's d, Variance",141,70,0.1240,0.1183,2011,Blank,health,drinking,college,US,61,no/unrelated message,distal,don't,online int,multiple delivery methods,single exposure and follow up,180,multiple messages
Neighbors2011.s2,perc desc norm,descriptive,"Cohen's d, Variance",142,70,0.1250,0.1183,2011,Blank,health,drinkinf,college,US,61,no/unrelated message,distal,don't,online int,written,single exposure and follow up,180,personalized norm
Neighbors2015,behavior,PNF,"Cohen's d, Variance",113,114,0.2350,0.1342,2015,jounal,socio-cultural,gambling,college,US,41,no/unrelated message,distal,don't,online int,written,single exposure and follow up,180,personalized norm
Neighbors2015,perc desc norm,PNF,"Cohen's d, Variance",113,114,0.3300,0.1342,2015,Blank,socio-cultural,Blank,college,US,41,no/unrelated message,distal,don't,lab experiment,written,single exposure and follow up,30,statistics
Nolan2011,perc desc norm,descriptive,"Independent groups (means, SD's)",41,41,0.7704,0.2289,2011,jounal,environment,recycling,college,US,61,no/unrelated message,distal,do,field experiment,written,single exposure and follow up,5,statistics
Panagopoulos2014,behavior,descriptive,Cohort 2x2 (Events),2000,2000,-0.0562,0.0543,2014,jounal,socio-cultural,voting,adults,US,,weaker/opposed norm,distal,do,online int,written,multiple eposure,21,personalized norm
Patrick2014,behavior,PNF,"Cohen's d, Variance",131,132,-0.1320,0.1237,2014,Blank,health,Blank,college,Blank,55,no/unrelated message,distal,don't,online int,written,multiple eposure,21,personalized norm
Patrick2014,perc desc norm,PNF,"Cohen's d, Variance",131,132,0.6130,0.1414,2014,jounal,health,drinking and sex,college,US,55,no/unrelated message,distal,don't,online int,written,multiple eposure,15,statistics
Priebe2012.,behavior,descriptive,"Independent groups (means, SD's)",23,66,0.7213,0.2481,2012,jounal,health,physical activity,adults,North/Central America,60,no/unrelated message,distal,do,online int,written,multiple eposure,15,statistics
Priebe2012.s2,behavior,descriptive,"Independent groups (means, SD's)",51,160,-0.0717,0.1608,2012,Blank,health,Blank,adults,North/Central America,60,no/unrelated message,distal,do,lab experiment,written,single exposure,1,implied approval/disapproval
Prince2010,perc desc norm,injunctive,"Independent groups (means, SD's)",266,264,0.0454,0.0869,2010,journal,health,excessive drinking,college,US,57,no/unrelated message,distal,don't,lab experiment,written,single exposure,1,implied approval/disapproval
Prince2010,perc inj norm,injunctive,"Independent groups (means, SD's)",266,264,0.3508,0.0875,2010,journal,health,excessive drinking,college,US,57,no/unrelated message,distal,don't,online int,written,single exposure and follow up,90,personalized norm
Prince2014,behavior,descriptive,"Independent groups (means, SD's)",30,31,0.0805,0.2562,2014,journal,health,drinking,college,US,23.4,no/unrelated message,distal,don't,online int,written,single exposure and follow up,60,personalized norm
Prince2014,behavior,descriptive,"Independent groups (means, SD's)",18,26,-0.1492,0.3070,2014,journal,health,drinking,college,US,26.2,no/unrelated message,distal,don't,intervention,ftf ind,single exposure and follow up,30,personalized norm
Prince2014,behavior,intervention,"Independent groups (means, SD's)",106,102,-0.3616,0.1398,2014,journal,health,drinking,college,US,19.3,no/unrelated message,distal,don't,intervention,ftf ind,single exposure and follow up,30,personalized norm
Prince2014,behavior,intervention,"Independent groups (means, SD's)",98,116,-0.1588,0.1374,2014,journal,health,drinking,college,US,10.7,no/unrelated message,distal,don't,lab experiment,video,single exposure,1,implied majority
Pulvers2014,behavior,descriptive,"Independent groups (means, SD's)",130,130,0.4784,0.1258,2014,jounal,health,pain endurance,college,US,69,no/unrelated message,distal,do,intervention,ftf grp,multiple eposure,180,media literacy
Ranby2009,attitude,mixed,"Cohen's d, Variance",606,655,0.6200,0.0548,2009,Blank,health,Blank,adolescents,US,100,no/unrelated message,mixed,don't,intervention,ftf grp,multiple eposure,180,media literacy
Ranby2009,behavior,mixed,"Cohen's d, Variance",606,655,0.0840,0.0548,2009,Blank,health,Blank,adolescents,US,100,no/unrelated message,mixed,don't,intervention,ftf grp,multiple eposure,180,media literacy
Ranby2009,intention,mixed,"Cohen's d, Variance",606,655,0.1390,0.0548,2009,Blank,health,Blank,adolescents,US,100,no/unrelated message,mixed,don't,intervention,ftf grp,multiple eposure,180,media literacy
Ranby2009,perc desc norm,mixed,"Cohen's d, Variance",606,655,0.0150,0.0548,2009,jounal,health,diet and steroid use,adolescents,US,100,no/unrelated message,mixed,don't,online exp,written,single exposure,1,statistics
Raska2015,perc desc norm,descriptive,"Independent groups (means, SD's)",22,21,0.8368,0.3181,2015,journal,environment,green buying,college,US,50,no/unrelated message,distal,do,online exp,written,single exposure,1,statistics
Raska2015,intention,descriptive,"Independent groups (means, SD's)",61,60,-0.6789,0.1870,2015,journal,environment,green buying,college,US,50,no/unrelated message,distal,do,online exp,written,single exposure,1,statistics
Raska2015,intention,descriptive,"Independent groups (means, SD's)",60,63,-0.1065,0.1805,2015,journal,environment,green buying,college,US,52,no/unrelated message,distal,do,field experiment,written,single exposure,2,statistics
Reese2014,behavior,descriptive,"Independent groups (means, SD's)",91,40.5,-0.0293,0.1889,2014,jounal,environment,towel reuse,adults,Europe,,no/unrelated message,distal,do,online int,written,single exposure and follow up,30,personalized norm
Reid2013,perc inj norm,injunctive,"Paired groups (means, t)",77,77,0.4599,0.1198,2013,journal,health,skin care,adults,US,100,no/unrelated message,distal,do,online int,written,single exposure and follow up,30,personalized norm
Reid2013,attitude,injunctive,"Paired groups (means, t)",77,77,0.2364,0.1155,2013,journal,health,skin care,adults,US,100,no/unrelated message,distal,do,online int,written,single exposure and follow up,30,personalized norm
Reid2013,intention,injunctive,"Paired groups (means, t)",77,77,0.2433,0.1156,2013,journal,health,skin care,adults,US,100,no/unrelated message,distal,do,online int,written,single exposure and follow up,90,personalized norm
Rideout2014,behavior,descriptive,Cohort 2x2 (Events),47,48,0.4112,0.2353,2014,journal,health,alcohol,college,Australia/NZ,80,no/unrelated message,distal,don't,online exp,written,single exposure,1,statistics
Rimal2005,intention,descriptive,"Cohen's d, Variance",78,79,-0.3550,0.1600,2005,jounal,health,Blank,college,US,77,weaker/opposed norm,distal,do,field experiment,written,single exposure,1,statistics
Rimal2008,perc desc norm,descriptive,"Independent groups (means, SD's)",641,650,0.3050,0.0560,2008,jounal,health,drinking,college,US,50,no/unrelated message,distal,don't,lab experiment,written,single exposure,1,multiple messages
Robinson2014,behavior,descriptive,"Cohen's d, Variance",38,33,0.2121,0.2385,2014,journal,health,veggie eating,college,Europe,83.1,no/unrelated message,distal,do,lab experiment,written,single exposure,1,multiple messages
Robinson2014.s2,behavior,descriptive,"Cohen's d, Variance",21,7,0.9997,0.4564,2014,journal,health,veggie eating,college,Europe,88,no/unrelated message,distal,do,lab experiment,written,single exposure,1,multiple messages
Robinson2014.s2,behavior,injunctive,"Cohen's d, Variance",22,7,0.2763,0.4354,2014,journal,health,veggie eating,college,Europe,88,no/unrelated message,distal,do,lab experiment,written,single exposure,1,personalized norm
Rosas2017,perc desc norm,intervention,"Cohen's d, Variance",94,49,0.7028,0.1811,2017,journal,health,soda drinks,college,US,83,no/unrelated message,mixed,don't,lab experiment,written,single exposure,1,personalized norm
Rosas2017,perc subj norm,intervention,"Cohen's d, Variance",94,49,0.6903,0.1808,2017,jounal,health,soda drinks,college,US,83,no/unrelated message,mixed,don't,lab experiment,written,single exposure,1,personalized norm
Rosas2017,intention,intervention,"Cohen's d, Variance",94,49,0.0486,0.1764,2017,jounal,health,soda drinks,college,US,83,no/unrelated message,mixed,don't,field experiment,written,multiple eposure,56,statistics
Schultz1998,behavior,descriptive,"Cohen's d, Variance",119,121,0.1680,0.0894,1998,jounal,environment,recycling,adults,US,,no/unrelated message,distal,do,field experiment,written,single exposure,3.4,multiple messages
Schultz2008.s1,behavior,mixed,"Independent groups (Sample size, t)",394,1965,0.2219,0.0553,2008,jounal,environment,towel reuse,adults,US,,no/unrelated message,distal,do,field experiment,written,single exposure,7,statistics
Schultz2008.s2,behavior,mixed,"Independent groups (means, SD's)",655,135,0.3393,0.0949,2008,jounal,environment,towel reuse,adults,US,,no/unrelated message,distal,do,field experiment,written,single exposure,7,statistics
Schultz2008.s3,behavior,mixed,"Independent groups (means, SD's)",555,187,0.2483,0.0848,2008,journal,environment,towel reuse,adults,US,,no/unrelated message,distal,do,field experiment,written,single exposure,14,statistics
Silva2017,behavior,descriptive,"Corr, N",2149,2149,-0.0540,0.0305,2017,journal,commerce,tuition payments,college,Europe,51,no/unrelated message,distal,do,lab experiment,written,single exposure,1,statistics
Smith2008.s1,attitude,descriptive,"Cohen's d, Variance",69,69,0.4240,0.1720,2008,Blank,socio-cultural,political activism,college,Australia/NZ,61,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Smith2008.s1,behavior,descriptive,"Cohen's d, Variance",69,69,0.3590,0.1549,2008,Blank,socio-cultural,political activism,college,Australia/NZ,61,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Smith2008.s1,intention,descriptive,"Cohen's d, Variance",69,69,0.2580,0.1709,2008,Blank,socio-cultural,political activism,college,Australia/NZ,61,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Smith2008.s1,attitude,injunctive,"Cohen's d, Variance",69,69,0.6870,0.1761,2008,jounal,socio-cultural,political activism,college,Australia/NZ,61,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Smith2008.s1,behavior,injunctive,"Cohen's d, Variance",69,69,0.2500,0.1703,2008,Blank,socio-cultural,political activism,college,Australia/NZ,61,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Smith2008.s1,intention,injunctive,"Cohen's d, Variance",69,69,0.8090,0.1761,2008,Blank,socio-cultural,political activism,college,Australia/NZ,61,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Smith2008.s2,attitude,descriptive,"Cohen's d, Variance",120,120,0.3205,0.2608,2008,Blank,socio-cultural,Blank,college,Australia/NZ,61,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Smith2008.s2,attitude,injunctive,"Cohen's d, Variance",120,120,0.4805,0.2636,2008,Blank,socio-cultural,Blank,college,Australia/NZ,61,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Smith2008.s2,behavior,descriptive,"Cohen's d, Variance",120,120,0.0800,0.2636,2008,Blank,socio-cultural,Blank,college,Australia/NZ,61,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Smith2008.s2,behavior,injunctive,"Cohen's d, Variance",120,120,-0.0170,0.2608,2008,Blank,socio-cultural,Blank,college,Australia/NZ,61,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Smith2008.s2,intention,descriptive,"Cohen's d, Variance",120,120,0.1285,0.2627,2008,Blank,socio-cultural,Blank,college,Australia/NZ,61,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Smith2008.s2,intention,injunctive,"Cohen's d, Variance",120,120,0.2285,0.2627,2008,Blank,socio-cultural,Blank,college,Australia/NZ,61,weaker/opposed norm,distal,do,online exp,written,single exposure,1,implied approval/disapproval
Stavrositu2015,perc inj norm,injunctive,"Independent groups (means, SD's)",91,90,0.2736,0.1494,2015,jounal,health,skin cancer,adults,US,53,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Stephenson2009,attitude,descriptive,"Independent groups (means, t)",55,55,0.4081,0.1927,2009,Blank,health,Blank,college,US,82,no/unrelated message,distal,Blank,lab experiment,written,single exposure,1,statistics
Stephenson2009,perc desc norm,descriptive,"Independent groups (means, SD's)",55,55,0.5936,0.1948,2009,jounal,health,sexual satisfaction,college,US,82,no/unrelated message,distal,Blank,lab experiment,written,single exposure,1,statistics
Stok2012.s1,intention,descriptive,"Cohen's d, Variance",51,51,0.3850,0.1975,2012,jounal,health,nutrition,college,Europe,83,weaker/opposed norm,distal,do,lab experiment,written,single exposure and follow up,7,statistics
Stok2012.s2,behavior,descriptive,"Independent groups (means, SD's)",49,49,0.4453,0.2045,2012,Blank,health,Blank,college,Blank,78,weaker/opposed norm,distal,do,lab experiment,written,single exposure and follow up,3,multiple messages
Stok2014,behavior,descriptive,"Independent groups (means, SD's)",31,16,0.4201,0.3109,2014,journal,health,Blank,adolescents,Europe,62,no/unrelated message,distal,do,lab experiment,written,single exposure and follow up,3,multiple messages
Stok2014,intention,descriptive,"Independent groups (means, SD's)",31,15,-0.0325,0.3145,2014,journal,health,nutrition,adolescents,Europe,62,no/unrelated message,distal,do,lab experiment,written,single exposure and follow up,3,multiple messages
Stok2014,behavior,injunctive,"Independent groups (means, SD's)",34,15,-0.2148,0.3107,2014,journal,health,Blank,adolescents,Europe,62,no/unrelated message,distal,do,lab experiment,written,single exposure and follow up,3,multiple messages
Stok2014,intention,injunctive,"Independent groups (means, SD's)",34,16,-0.6496,0.3101,2014,journal,health,Blank,adolescents,Europe,,no/unrelated message,distal,do,lab experiment,written,single exposure and follow up,7,statistics
Stok2014,behavior,descriptive,"Independent groups (means, SD's)",34,34,0.4375,0.2454,2014,jounal,health,nutrition,college,Europe,84,weaker/opposed norm,distal,do,lab experiment,written,single exposure and follow up,7,statistics
Stok2014,intention,descriptive,"Independent groups (means, SD's)",26,26,1.6833,0.3227,2014,journal,health,nutrition,college,Europe,73,weaker/opposed norm,distal,Blank,lab experiment,written,multiple eposure,4,implied majority
Templeton2016,behavior,descriptive,"Independent groups (means, SD's)",40,40,0.1190,0.2238,2016,journal,health,unhealthy food,college,US,70,weaker/opposed norm,distal,don't,campaign,written,campaign,180,statistics
Thombs2002,perc desc norm,descriptive,"Independent groups (means, SD's)",159,407,0.3915,0.0942,2002,journal,health,alcohol,college,US,41,no/unrelated message,distal,don't,campaign,written,campaign,180,statistics
Thombs2002,behavior,descriptive,"Independent groups (means, SD's)",159,407,0.0000,0.0935,2002,journal,health,alcohol,college,US,41,no/unrelated message,distal,don't,intervention,ftf grp,single exposure and follow up,60,statistics
Turetsky2017,perc desc norm,intervention,"Cohen's d, Variance",188,159,0.4950,0.1095,2017,journal,health,mental health,college,US,51.7,no/unrelated message,distal,do,intervention,ftf grp,single exposure and follow up,60,statistics
Turetsky2017,attitude,intervention,"Independent groups (means, SD's)",188,159,0.1381,0.1079,2017,journal,health,mental health,college,US,51.7,no/unrelated message,distal,do,intervention,ftf grp,single exposure and follow up,60,statistics
Turetsky2017,behavior,intervention,"Independent groups (means, SD's)",188,159,0.1035,0.1078,2017,journal,health,mental health,college,US,51.7,no/unrelated message,distal,do,campaign,written,campaign,180,multiple messages
Turner2008,behavior,descriptive,"Independent groups (means, SD's)",1664,227,0.0464,0.0708,2008,Blank,health,alcohol consumption,college,US,51,no/unrelated message,distal,don't,campaign,written,campaign,180,multiple messages
Turner2008,behavior,descriptive,"Independent groups (means, SD's)",1385,512,0.0183,0.0517,2008,Blank,health,alcohol consumption,college,US,51,no/unrelated message,distal,Blank,campaign,written,campaign,180,multiple messages
Turner2008,behavior,descriptive,"Independent groups (means, SD's)",1665,271,0.1256,0.0655,2008,Blank,health,alcohol consumption,college,US,50,no/unrelated message,distal,Blank,campaign,written,campaign,180,multiple messages
Turner2008,behavior,descriptive,"Independent groups (means, SD's)",1465,258,0.3473,0.0678,2008,Blank,health,alcohol consumption,college,US,50,no/unrelated message,distal,Blank,online exp,written,single exposure,1,statistics
VanderLinden2015,behavior,descriptive,"Cohen's d, Variance",219,80,0.1777,0.1308,2015,journal,environment,water bottle consumption,college,Europe,70,no/unrelated message,distal,do,online exp,written,single exposure,1,model of behavior
Vet2011,perc subj norm,injunctive,"Independent groups (means, SD's)",83,85,0.2670,0.1550,2011,Blank,health,hepatitis vacc,adults,Europe,0,no/unrelated message,proximal,Blank,online exp,written,single exposure,1,model of behavior
Vet2011,intention,injunctive,"Independent groups (means, SD's)",83,85,0.0647,0.1544,2011,Blank,health,hepatitis vacc,adults,Europe,0,no/unrelated message,proximal,Blank,lab experiment,written,single exposure,1,statistics
Wang2015,intention,descriptive,"Cohen's d, Variance",111,108,0.4519,0.1382,2015,journal,socio-cultural,cheating,children,Asia,46.6,weaker/opposed norm,distal,do,lab experiment,written,single exposure,1,statistics
Wang2015,perc desc norm,descriptive,"Independent groups (means, SD's)",111,103,0.5888,0.1397,2015,journal,socio-cultural,cheating,children,Asia,46.6,weaker/opposed norm,distal,do,campaign,written,campaign,,statistics
Wechsler2003,behavior,mixed,"Cohen's d, Variance",8177,7376,-0.1394,0.0200,2003,journal,health,alcohol,college,US,,no/unrelated message,mixed,don't,lab experiment,written,single exposure and follow up,7,implied majority
Wenzel2005,behavior,injunctive,"Cohen's d, Variance",417,416,0.0743,0.0693,2005,journal,commerce,tax honesty,adults,Australia/NZ,51.1,no/unrelated message,distal,do,intervention,written,single exposure and follow up,30,statistics
Werch2000,attitude,intervention,"Independent groups (means, SD's)",266,255,-0.0377,0.0876,2000,Blank,health,health care check ups,college,US,64,no/unrelated message,distal,Blank,intervention,written,single exposure and follow up,30,statistics
Werch2000,behavior,intervention,"Cohen's d, Variance",266,255,-0.1150,0.0894,2000,Blank,health,drinking,college,US,64,no/unrelated message,distal,Blank,intervention,written,single exposure and follow up,30,statistics
Werch2000,intention,intervention,"Independent groups (means, SD's)",266,255,-0.0246,0.0876,2000,Blank,health,drinking,college,US,64,no/unrelated message,distal,Blank,intervention,written,single exposure and follow up,30,statistics
Werch2000,perc desc norm,intervention,"Independent groups (means, SD's)",266,255,0.0500,0.0877,2000,Blank,health,drinking,college,US,64,no/unrelated message,distal,Blank,intervention,written,single exposure and follow up,30,statistics
Werch2000,perc inj norm,intervention,"Independent groups (means, SD's)",266,255,0.0868,0.0877,2000,Blank,health,drinking,college,US,64,no/unrelated message,distal,Blank,lab experiment,written,single exposure,1,implied approval/disapproval
Xiaojing2012,intention,injunctive,"Independent groups (means, SD's)",24,25,0.0000,0.2858,2012,Blank,health,drunk driving,college,Asia,79,no/unrelated message,proximal,don't,lab experiment,written,single exposure,1,implied approval/disapproval
Yoon2016,perc desc norm,descriptive,"Independent groups (means, SD's)",77,77,1.3467,0.1785,2016,journal,socio-cultural,savings behavior,adults,US,54.1,no/unrelated message,distal,do,online exp,written,single exposure,1,statistics
Yoon2016,perc desc norm,descriptive,"Independent groups (means, SD's)",80,81,0.7470,0.1630,2016,journal,socio-cultural,savings behavior,adults,US,49.1,no/unrelated message,distal,don't,online exp,image,single exposure,1,statistics
Yoon2017,perc desc norm,descriptive,"Independent groups (means, SD's)",79,79,0.9561,0.1680,2017,journal,commerce,savings,adults,US,46.5,no/unrelated message,distal,do,online exp,image,single exposure,1,statistics
Yoon2017,attitude,descriptive,"Cohen's d, Variance",79,80,-0.0699,0.1122,2017,journal,commerce,savings,adults,US,46.5,no/unrelated message,distal,do,online exp,image,single exposure,1,statistics
Yoon2017,intention,descriptive,"Cohen's d, Variance",79,80,-0.1210,0.1122,2017,journal,commerce,savings,adults,US,46.5,no/unrelated message,distal,do,online exp,written,single exposure,1,statistics
Yoon2017,perc desc norm,descriptive,"Independent groups (means, SD's)",84,85,0.9570,0.1624,2017,journal,commerce,savings,adults,US,46.5,no/unrelated message,distal,do,online exp,written,single exposure,1,statistics
Yoon2017,attitude,descriptive,"Cohen's d, Variance",85,85,-0.0295,0.1533,2017,journal,commerce,savings,adults,US,46.5,no/unrelated message,distal,do,online exp,written,single exposure,1,statistics
Yoon2017,intention,descriptive,"Cohen's d, Variance",85,85,0.0334,0.1533,2017,journal,commerce,savings,adults,US,46.5,no/unrelated message,distal,do,online exp,image,single exposure,1,model of behavior
Young2013,perc subj norm,descriptive,"Independent groups (means, SD's)",24,25,-0.6251,0.2927,2013,Blank,health,safe sex,college,US,,no/unrelated message,proximal,do,online exp,image,single exposure,1,model of behavior
Young2013,intention,descriptive,"Independent groups (means, SD's)",24,25,0.7902,0.2967,2013,Blank,health,safe sex,college,US,,no/unrelated message,proximal,do,online exp,image,single exposure,1,model of behavior
